问 句	标 准 答 案	学 生 答 案	得分
简 述 计 算 机 有 哪 几 个 发 展 阶 段 。	计 算 机 的 发 展 阶 段 分 别 是 ： 大 型 机 阶 段 、 小 型 机 阶 段 、 微 型 机 阶 段 、 客 户 机 / 服 务 器 阶 段 、 互 联 网 阶 段 。	计 算 机 的 发 展 阶 段 是 ： 大 型 机 阶 段 、 小 型 机 阶 段 、 微 型 机 阶 段 、 客 户 机 / 服 务 器 阶 段 、 互 联 网 阶 段 。	10.0
简 述 计 算 机 有 哪 几 个 发 展 阶 段 。	计 算 机 的 发 展 阶 段 分 别 是 ： 大 型 机 阶 段 、 小 型 机 阶 段 、 微 型 机 阶 段 、 客 户 机 / 服 务 器 阶 段 、 互 联 网 阶 段 。	微 型 机 阶 段 、 小 型 机 阶 段 、 大 型 机 阶 段 、 互 联 网 阶 段 、 客 户 机 / 服 务 器 阶 段 。	10.0
计 算 机 有 哪 些 类 别 ？	计 算 机 可 分 为 五 类 ： 台 式 机 、 笔 记 本 、 掌 上 电 脑 、 服 务 器 、 工 作 站 。	计 算 机 的 类 别 有 ： 台 式 机 、 笔 记 本 、 掌 上 电 脑 、 服 务 器 、 工 作 站 。	10.0
计 算 机 有 哪 些 类 别 ？	计 算 机 可 分 为 五 类 ： 台 式 机 、 笔 记 本 、 掌 上 电 脑 、 服 务 器 、 工 作 站 。	笔 记 本 、 台 式 机 、 掌 上 电 脑 、 工 作 站 、 服 务 器 。	10.0
计 算 机 有 哪 些 主 要 性 能 指 标 ？	计 算 机 的 主 要 性 能 指 标 有 ： 位 数 、 速 度 、 带 宽 、 容 量 、 可 靠 性 。	计 算 机 的 性 能 指 标 分 别 是 ： 位 数 、 速 度 、 带 宽 、 容 量 、 可 靠 性 。	10.0
计 算 机 有 哪 些 主 要 性 能 指 标 ？	计 算 机 的 主 要 性 能 指 标 有 ： 位 数 、 速 度 、 带 宽 、 容 量 、 可 靠 性 。	容 量 、 速 度 、 可 靠 性 、 位 数 、 带 宽 。	10.0
计 算 机 有 哪 些 主 要 的 应 用 领 域 ？	计 算 机 的 主 要 应 用 领 域 有 ： 科 学 计 算 、 数 据 处 理 、 自 动 控 制 、 智 能 模 拟 、 网 络 应 用 。	计 算 机 的 应 用 领 域 分 别 是 ： 科 学 计 算 、 数 据 处 理 、 自 动 控 制 、 智 能 模 拟 、 网 络 应 用 。	10.0
计 算 机 有 哪 些 主 要 的 应 用 领 域 ？	计 算 机 的 主 要 应 用 领 域 有 ： 科 学 计 算 、 数 据 处 理 、 自 动 控 制 、 智 能 模 拟 、 网 络 应 用 。	智 能 模 拟 、 科 学 计 算 、 数 据 处 理 、 自 动 控 制 、 网 络 应 用 。	10.0
按 计 算 机 采 用 的 电 子 器 件 来 划 分 ， 计 算 机 的 发 展 有 哪 几 个 阶 段 ？	按 计 算 机 采 用 的 电 子 器 件 来 划 分 ， 计 算 机 的 发 展 阶 段 分 别 是 ： 电 子 管 时 代 、 晶 体 管 时 代 、 中 小 规 模 集 成 电 路 时 代 、 大 规 模 集 成 电 路 时 代 。	计 算 机 的 发 展 阶 段 是 ： 电 子 管 时 代 、 晶 体 管 时 代 、 中 小 规 模 集 成 电 路 时 代 、 大 规 模 集 成 电 路 时 代 。	10.0
按 计 算 机 采 用 的 电 子 器 件 来 划 分 ， 计 算 机 的 发 展 有 哪 几 个 阶 段 ？	按 计 算 机 采 用 的 电 子 器 件 来 划 分 ， 计 算 机 的 发 展 阶 段 分 别 是 ： 电 子 管 时 代 、 晶 体 管 时 代 、 中 小 规 模 集 成 电 路 时 代 、 大 规 模 集 成 电 路 时 代 。	电 子 管 时 代 、 晶 体 管 时 代 、 大 规 模 集 成 电 路 时 代 、 中 小 规 模 集 成 电 路 时 代 。	10.0
