问 句	标 准 答 案	学 生 答 案	得分
请 按 时 间 先 后 顺 序 依 次 写 出 计 算 机 对 输 入 数 据 执 行 的 操 作 。	按 时 间 先 后 顺 序 ， 计 算 机 对 输 入 数 据 执 行 的 操 作 依 次 为 ： 存 储 、 处 理 、 传 送 。	计 算 机 对 输 入 数 据 执 行 的 操 作 依 次 为 ： 存 储 、 处 理 、 传 送 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 计 算 机 对 输 入 数 据 执 行 的 操 作 。	按 时 间 先 后 顺 序 ， 计 算 机 对 输 入 数 据 执 行 的 操 作 依 次 为 ： 存 储 、 处 理 、 传 送 。	分 别 是 ： 处 理 、 传 送 、 存 储 。	0.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 计 算 机 的 特 点 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 计 算 机 的 特 点 依 次 为 ： 计 算 机 是 信 息 处 理 的 设 备 ； 计 算 机 通 过 程 序 自 动 完 成 数 据 处 理 ； 计 算 机 的 处 理 速 度 快 ； 计 算 机 的 经 济 效 益 高 。	计 算 机 的 特 点 依 次 为 ： 计 算 机 是 信 息 处 理 的 设 备 ； 计 算 机 通 过 程 序 自 动 完 成 数 据 处 理 ； 计 算 机 的 处 理 速 度 快 ； 计 算 机 的 经 济 效 益 高 。	10.0
请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 计 算 机 的 特 点 。	按 重 要 程 度 由 高 至 低 的 顺 序 ， 计 算 机 的 特 点 依 次 为 ： 计 算 机 是 信 息 处 理 的 设 备 ； 计 算 机 通 过 程 序 自 动 完 成 数 据 处 理 ； 计 算 机 的 处 理 速 度 快 ； 计 算 机 的 经 济 效 益 高 。	分 别 是 ： 计 算 机 通 过 程 序 自 动 完 成 数 据 处 理 ； 计 算 机 是 信 息 处 理 的 设 备 ； 计 算 机 的 处 理 速 度 快 ； 计 算 机 的 经 济 效 益 高 。	5.0
请 按 时 间 先 后 顺 序 依 次 写 出 计 算 机 的 发 展 阶 段 。	按 时 间 先 后 顺 序 ， 计 算 机 的 发 展 阶 段 依 次 为 ： 大 型 机 阶 段 、 小 型 机 阶 段 、 微 型 机 阶 段 、 客 户 / 服 务 器 阶 段 、 互 联 网 阶 段 。	计 算 机 的 发 展 阶 段 依 次 为 ： 大 型 机 阶 段 、 小 型 机 阶 段 、 微 型 机 阶 段 、 客 户 / 服 务 器 阶 段 、 互 联 网 阶 段 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 计 算 机 的 发 展 阶 段 。	按 时 间 先 后 顺 序 ， 计 算 机 的 发 展 阶 段 依 次 为 ： 大 型 机 阶 段 、 小 型 机 阶 段 、 微 型 机 阶 段 、 客 户 / 服 务 器 阶 段 、 互 联 网 阶 段 。	分 别 是 ： 互 联 网 阶 段 、 客 户 / 服 务 器 阶 段 、 微 型 机 阶 段 、 小 型 机 阶 段 、 大 型 机 阶 段 。	2.0
请 按 时 间 先 后 顺 序 依 次 写 出 大 型 机 的 发 展 过 程 。	按 时 间 先 后 顺 序 ， 大 型 机 的 发 展 过 程 依 次 为 ： 第 一 代 电 子 管 计 算 机 、 第 二 代 晶 体 管 计 算 机 、 第 三 代 中 小 规 模 集 成 电 路 计 算 机 、 第 四 代 超 大 规 模 集 成 电 路 计 算 机 。	大 型 机 的 发 展 过 程 依 次 为 ： 第 一 代 电 子 管 计 算 机 、 第 二 代 晶 体 管 计 算 机 、 第 三 代 中 小 规 模 集 成 电 路 计 算 机 、 第 四 代 超 大 规 模 集 成 电 路 计 算 机 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 大 型 机 的 发 展 过 程 。	按 时 间 先 后 顺 序 ， 大 型 机 的 发 展 过 程 依 次 为 ： 第 一 代 电 子 管 计 算 机 、 第 二 代 晶 体 管 计 算 机 、 第 三 代 中 小 规 模 集 成 电 路 计 算 机 、 第 四 代 超 大 规 模 集 成 电 路 计 算 机 。	分 别 是 ： 第 四 代 电 子 管 计 算 机 、 第 三 代 晶 体 管 计 算 机 、 第 二 代 中 小 规 模 集 成 电 路 计 算 机 、 第 一 代 超 大 规 模 集 成 电 路 计 算 机 。	0.0
请 按 时 间 先 后 顺 序 依 次 写 出 计 算 机 的 传 统 分 类 。	按 时 间 先 后 顺 序 ， 计 算 机 的 传 统 分 类 依 次 为 ： 大 型 主 机 、 小 型 计 算 机 、 个 人 计 算 机 、 工 作 站 、 巨 型 计 算 机 。	计 算 机 的 传 统 分 类 依 次 为 ： 大 型 主 机 、 小 型 计 算 机 、 个 人 计 算 机 、 工 作 站 、 巨 型 计 算 机 。	10.0
请 按 时 间 先 后 顺 序 依 次 写 出 计 算 机 的 传 统 分 类 。	按 时 间 先 后 顺 序 ， 计 算 机 的 传 统 分 类 依 次 为 ： 大 型 主 机 、 小 型 计 算 机 、 个 人 计 算 机 、 工 作 站 、 巨 型 计 算 机 。	分 别 是 ： 小 型 主 机 、 大 型 计 算 机 、 巨 型 计 算 机 、 工 作 站 、 个 人 计 算 机 。	2.0
