问 句	标 准 答 案	学 生 答 案	得分
简 述 接 入 控 制 的 定 义 。	接 入 控 制 的 定 义 如 下 ： 一 个 强 加 允 许 用 户 访 问 网 络 资 源 的 控 制 方 法 ， 通 常 基 于 用 户 的 账 户 。	定 义 如 下 ： 一 个 强 加 允 许 用 户 访 问 网 络 资 源 的 控 制 方 法 ， 通 常 基 于 用 户 的 账 户 。	10.0
简 述 接 入 控 制 的 定 义 。	接 入 控 制 的 定 义 如 下 ： 一 个 强 加 允 许 用 户 访 问 网 络 资 源 的 控 制 方 法 ， 通 常 基 于 用 户 的 账 户 。	一 个 强 加 拒 绝 用 户 访 问 网 络 资 源 的 控 制 方 法 ， 通 常 基 于 用 户 所 属 的 某 个 组 。	0.0
简 述 账 户 名 的 定 义 。	账 户 名 的 定 义 如 下 ： 在 网 络 上 标 识 一 个 特 定 用 户 账 号 的 一 串 字 母 、 数 字 、 其 他 字 符 。	定 义 如 下 ： 在 网 络 上 标 识 一 个 特 定 用 户 账 号 的 一 串 字 母 、 数 字 、 其 他 字 符 。	10.0
简 述 账 户 名 的 定 义 。	账 户 名 的 定 义 如 下 ： 在 网 络 上 标 识 一 个 特 定 用 户 账 号 的 一 串 字 母 、 数 字 、 其 他 字 符 。	在 网 络 上 标 识 一 个 特 定 用 户 账 号 的 一 串 数 字 、 字 母 、 特 殊 字 符 。	6.0
简 述 活 动 目 录 的 定 义 。	活 动 目 录 的 定 义 如 下 ： M i c r o s o f t   W i n d o w s   2 0 0 0   S e r v e r 的 目 录 服 务 环 境 。 活 动 目 录 包 含 有 关 用 户 、 组 、 组 织 单 位 、 其 他 管 理 域 类 型 的 足 够 信 息 。	定 义 如 下 ： M i c r o s o f t   W i n d o w s   2 0 0 0   S e r v e r 的 目 录 服 务 环 境 。 活 动 目 录 包 含 有 关 用 户 、 组 、 组 织 单 位 、 其 他 管 理 域 类 型 的 足 够 信 息 。	10.0
简 述 活 动 目 录 的 定 义 。	活 动 目 录 的 定 义 如 下 ： M i c r o s o f t   W i n d o w s   2 0 0 0   S e r v e r 的 目 录 服 务 环 境 。 活 动 目 录 包 含 有 关 用 户 、 组 、 组 织 单 位 、 其 他 管 理 域 类 型 的 足 够 信 息 。	M i c r o s o f t   W i n d o w s   2 0 0 3   P r o f e s s i o n a l 的 目 录 服 务 环 境 。 活 动 目 录 包 含 有 关 组 、 用 户 、 用 户 账 号 、 其 他 管 理 域 类 型 的 足 够 信 息 。	6.0
简 述 应 用 服 务 器 的 定 义 。	应 用 服 务 器 的 定 义 如 下 ： 一 个 专 用 的 网 络 服 务 器 ， 其 职 责 是 提 供 对 客 户 机 / 服 务 器 应 用 程 序 的 访 问 ， 以 及 提 供 对 所 属 应 用 程 序 的 数 据 的 访 问 。	定 义 如 下 ： 一 个 专 用 的 网 络 服 务 器 ， 其 职 责 是 提 供 对 客 户 机 / 服 务 器 应 用 程 序 的 访 问 ， 以 及 提 供 对 所 属 应 用 程 序 的 数 据 的 访 问 。	10.0
简 述 应 用 服 务 器 的 定 义 。	应 用 服 务 器 的 定 义 如 下 ： 一 个 专 用 的 网 络 服 务 器 ， 其 职 责 是 提 供 对 客 户 机 / 服 务 器 应 用 程 序 的 访 问 ， 以 及 提 供 对 所 属 应 用 程 序 的 数 据 的 访 问 。	一 个 计 算 模 型 ， 其 职 责 是 提 供 对 客 户 机 / 服 务 器 应 用 程 序 的 访 问 ， 以 及 提 供 对 所 属 应 用 程 序 的 网 络 资 源 的 访 问 。	3.0
简 述 中 央 处 理 器 的 定 义 。	中 央 处 理 器 的 定 义 如 下 ： 为 大 部 分 计 算 机 提 供 大 脑 的 电 路 集 合 。	定 义 如 下 ： 为 大 部 分 计 算 机 提 供 大 脑 的 电 路 集 合 。	10.0
简 述 中 央 处 理 器 的 定 义 。	中 央 处 理 器 的 定 义 如 下 ： 为 大 部 分 计 算 机 提 供 大 脑 的 电 路 集 合 。	一 个 电 路 集 合 ， 其 作 用 是 为 大 部 分 计 算 机 提 供 大 脑 。	10.0
简 述 客 户 机 的 定 义 。	客 户 机 的 定 义 如 下 ： 网 络 上 的 一 台 计 算 机 ， 从 其 他 计 算 机 请 求 资 源 。	定 义 如 下 ： 网 络 上 的 一 台 计 算 机 ， 从 其 他 计 算 机 请 求 资 源 。	10.0
简 述 客 户 机 的 定 义 。	客 户 机 的 定 义 如 下 ： 网 络 上 的 一 台 计 算 机 ， 从 其 他 计 算 机 请 求 资 源 。	一 个 计 算 模 型 ， 从 其 他 计 算 机 请 求 服 务 。	0.0
简 述 客 户 机 / 服 务 器 的 定 义 。	客 户 机 / 服 务 器 的 定 义 如 下 ： 一 个 计 算 模 型 ， 其 中 一 部 分 计 算 机 负 责 请 求 服 务 ， 其 余 计 算 机 则 负 责 对 这 类 服 务 请 求 做 出 响 应 。	定 义 如 下 ： 一 个 计 算 模 型 ， 其 中 一 部 分 计 算 机 负 责 请 求 服 务 ， 其 余 计 算 机 则 负 责 对 这 类 服 务 请 求 做 出 响 应 。	10.0
