类别	问 句
定义类	简 述 接 入 控 制 的 定 义 。
定义类	简 述 账 户 名 的 定 义 。
定义类	简 述 活 动 目 录 的 定 义 。
定义类	简 述 应 用 服 务 器 的 定 义 。
定义类	简 述 中 央 处 理 器 的 定 义 。
定义类	简 述 客 户 机 的 定 义 。
定义类	简 述 客 户 机 / 服 务 器 的 定 义 。
定义类	简 述 客 户 机 / 服 务 器 模 式 的 定 义 。
定义类	简 述 通 信 服 务 器 的 定 义 。
定义类	简 述 专 用 服 务 器 的 定 义 。
定义类	简 述 桌 面 软 件 的 定 义 。
定义类	简 述 设 备 共 享 的 定 义 。
定义类	简 述 目 录 服 务 器 的 定 义 。
定义类	简 述 域 控 制 器 的 定 义 。
定义类	简 述 域 的 定 义 。
定义类	简 述 域 模 型 的 定 义 。
定义类	简 述 电 子 邮 件 的 定 义 。
定义类	简 述 以 太 网 的 定 义 。
定义类	简 述 E x c h a n g e   S e r v e r 的 定 义 。
定义类	简 述 传 真 服 务 器 的 定 义 。
定义类	简 述 文 件 和 打 印 服 务 器 的 定 义 。
定义类	简 述 文 件 传 输 协 议 的 定 义 。
定义类	简 述 组 的 定 义 。
定义类	简 述 热 交 换 的 定 义 。
定义类	简 述 混 合 网 络 的 定 义 。
定义类	简 述 I n t e r n e t 的 定 义 。
定义类	简 述 I n t e r n e t 信 息 服 务 的 定 义 。
定义类	简 述 互 联 网 络 的 定 义 。
定义类	简 述 内 部 互 联 网 的 定 义 。
定义类	简 述 I P X / S P X 的 定 义 。
定义类	简 述 局 域 网 的 定 义 。
定义类	简 述 本 地 连 接 的 定 义 。
定义类	简 述 邮 件 服 务 器 的 定 义 。
定义类	简 述 介 质 的 定 义 。
定义类	简 述 域 域 网 的 定 义 。
定义类	简 述 N e t B E U I 的 定 义 。
定义类	简 述 网 络 管 理 员 的 定 义 。
定义类	简 述 网 络 接 口 卡 的 定 义 。
定义类	简 述 网 络 介 质 的 定 义 。
定义类	简 述 网 络 操 作 系 统 的 定 义 。
定义类	简 述 网 络 协 议 的 定 义 。
定义类	简 述 网 络 资 源 的 定 义 。
定义类	简 述 N o v e l l 目 录 服 务 的 定 义 。
定义类	简 述 N W L i n k 的 定 义 。
定义类	简 述 口 令 的 定 义 。
定义类	简 述 对 等 机 的 定 义 。
定义类	简 述 外 围 设 备 的 定 义 。
定义类	简 述 个 人 数 字 助 手 的 定 义 。
定义类	简 述 随 机 存 取 器 的 定 义 。
定义类	简 述 路 由 和 远 程 访 问 服 务 器 的 定 义 。
定义类	简 述 请 求 - 响 应 的 定 义 。
定义类	简 述 安 全 性 的 定 义 。
定义类	简 述 服 务 器 的 定 义 。
定义类	简 述 共 享 的 定 义 。
定义类	简 述 边 带 链 路 的 定 义 。
定义类	简 述 人 力 网 络 的 定 义 。
定义类	简 述 专 用 服 务 器 的 定 义 。
定义类	简 述 S Q L   S e r v e r 的 定 义 。
定义类	简 述 存 储 域 网 的 定 义 。
定义类	简 述 T C P / I P 的 定 义 。
定义类	简 述 W e b 浏 览 器 的 定 义 。
定义类	简 述 W e b 服 务 器 的 定 义 。
定义类	简 述 广 域 网 的 定 义 。
定义类	简 述 无 线 个 人 域 网 的 定 义 。
定义类	简 述 工 作 组 模 式 的 定 义 。
定义类	简 述 万 维 网 的 定 义 。
定义类	简 述 接 入 点 的 定 义 。
定义类	简 述 有 源 集 线 器 的 定 义 。
定义类	简 述 主 动 拓 扑 结 构 的 定 义 。
定义类	简 述 a d - h o c 拓 扑 结 构 的 定 义 。
定义类	简 述 主 干 的 定 义 。
定义类	简 述 总 线 拓 扑 结 构 的 定 义 。
定义类	简 述 图 表 的 定 义 。
定义类	简 述 光 纤 分 布 式 数 据 接 口 的 定 义 。
定义类	简 述 集 线 器 的 定 义 。
定义类	简 述 混 合 集 线 器 的 定 义 。
定义类	简 述 布 局 的 定 义 。
定义类	简 述 示 意 图 的 定 义 。
定义类	简 述 网 状 拓 扑 结 构 的 定 义 。
定义类	简 述 多 端 口 中 继 器 的 定 义 。
定义类	简 述 无 源 集 线 器 的 定 义 。
定义类	简 述 被 动 拓 扑 结 构 的 定 义 。
定义类	简 述 对 等 拓 扑 结 构 的 定 义 。
定义类	简 述 环 型 拓 扑 结 构 的 定 义 。
定义类	简 述 信 号 反 射 的 定 义 。
定义类	简 述 星 形 拓 扑 结 构 的 定 义 。
定义类	简 述 星 形 总 线 拓 扑 结 构 的 定 义 。
定义类	简 述 星 形 环 拓 扑 结 构 的 定 义 。
定义类	简 述 交 换 机 的 定 义 。
定义类	简 述 端 接 器 的 定 义 。
定义类	简 述 令 牌 的 定 义 。
定义类	简 述 令 牌 传 递 的 定 义 。
定义类	简 述 拓 扑 结 构 的 定 义 。
定义类	简 述 1 0 B a s e 2 的 定 义 。
定义类	简 述 1 0 B a s e 5 的 定 义 。
定义类	简 述 1 0 B a s e T 的 定 义 。
定义类	简 述 8 0 2 . 1 1 无 线 联 网 标 准 的 定 义 。
定义类	简 述 接 入 点 设 备 的 定 义 。
定义类	简 述 美 国 国 家 标 准 学 会 的 定 义 。
定义类	简 述 放 大 器 的 定 义 。
定义类	简 述 模 拟 的 定 义 。
定义类	简 述 天 线 的 定 义 。
定义类	简 述 A R C n e t 的 定 义 。
定义类	简 述 带 宽 的 定 义 。
定义类	简 述 基 带 传 输 的 定 义 。
定义类	简 述 弯 曲 半 径 的 定 义 。
定义类	简 述 电 缆 的 编 织 套 的 定 义 。
定义类	简 述 宽 带 光 电 信 号 网 络 的 定 义 。
定义类	简 述 宽 带 传 输 的 定 义 。
定义类	简 述 广 播 信 号 的 定 义 。
定义类	简 述 线 缆 调 制 解 调 器 的 定 义 。
定义类	简 述 蜂 窝 数 字 分 组 数 据 的 定 义 。
定义类	简 述 蜂 窝 分 组 无 线 电 的 定 义 。
定义类	简 述 码 片 的 定 义 。
定义类	简 述 覆 层 的 定 义 。
定义类	简 述 同 轴 电 缆 的 定 义 。
定义类	简 述 通 信 公 司 的 定 义 。
定义类	简 述 管 道 的 定 义 。
定义类	简 述 交 调 干 扰 的 定 义 。
定义类	简 述 数 据 级 的 定 义 。
定义类	简 述 直 接 序 列 调 制 的 定 义 。
定义类	简 述 双 缆 宽 带 的 定 义 。
定义类	简 述 电 磁 干 扰 的 定 义 。
定义类	简 述 电 子 窃 听 的 定 义 。
定义类	简 述 电 子 工 业 协 会 的 定 义 。
定义类	简 述 扩 展 L A N 的 定 义 。
定义类	简 述 联 邦 通 信 委 员 会 的 定 义 。
定义类	简 述 光 纤 的 定 义 。
定义类	简 述 跳 频 的 定 义 。
定义类	简 述 对 地 静 止 的 定 义 。
定义类	简 述 赫 兹 的 定 义 。
定义类	简 述 热 点 的 定 义 。
定义类	简 述 混 合 网 络 的 定 义 。
定义类	简 述 阻 抗 的 定 义 。
定义类	简 述 红 外 线 的 定 义 。
定义类	简 述 插 入 损 耗 的 定 义 。
定义类	简 述 电 气 和 电 子 工 程 师 协 会 的 定 义 。
定义类	简 述 I r D A 的 定 义 。
定义类	简 述 插 座 耦 合 器 的 定 义 。
定义类	简 述 外 套 的 定 义 。
定义类	简 述 延 迟 的 定 义 。
定义类	简 述 发 光 二 极 管 的 定 义 。
定义类	简 述 视 线 的 定 义 。
定义类	简 述 视 线 网 络 的 定 义 。
定义类	简 述 局 域 网 的 定 义 。
定义类	简 述 最 大 分 段 长 度 的 定 义 。
定义类	简 述 介 质 接 口 连 接 器 的 定 义 。
定义类	简 述 中 分 宽 带 的 定 义 。
定义类	简 述 移 动 计 算 的 定 义 。
定义类	简 述 M T - R J 的 定 义 。
定义类	简 述 窄 带 无 线 电 的 定 义 。
定义类	简 述 窄 带 插 座 的 定 义 。
定义类	简 述 插 线 板 的 定 义 。
定义类	简 述 天 花 板 隔 层 的 定 义 。
定义类	简 述 分 线 盒 的 定 义 。
定义类	简 述 射 频 干 扰 的 定 义 。
定义类	简 述 接 收 机 的 定 义 。
定义类	简 述 反 射 无 线 网 络 的 定 义 。
